IMG,OBJ,FILT,MJD,SEE,AIRM,EXPTIME,DATE-OBS
h_e_20241006_117_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60590.070836,1.273722,1.50685,60.0,2024-10-07T01:42:00.193
h_e_20241007_83_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60591.073176,1.55012,1.490208,60.0,2024-10-08T01:45:22.406
h_e_20241008_58_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60592.081227,3.177554,1.461847,60.0,2024-10-09T01:56:58.007
h_e_20241009_78_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60593.071009,0.9702592,1.480564,60.0,2024-10-10T01:42:15.216
h_e_20241010_81_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60594.099317,0.8527317,1.430028,60.0,2024-10-11T02:23:00.989
h_e_20241011_83_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60595.058842,1.499827,1.501182,60.0,2024-10-12T01:24:43.978
h_e_20241012_9_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60596.078113,2.378222,1.446901,60.0,2024-10-13T01:52:28.943
h_e_20241013_141_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60597.091966,1.350132,1.429611,60.0,2024-10-14T02:12:25.879
h_e_20241016_31_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60600.050816,1.250417,1.483649,90.0,2024-10-17T01:13:10.482
h_e_20241017_43_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60601.05763,1.351437,1.459741,90.0,2024-10-18T01:22:59.256
h_e_20241018_38_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60602.048501,1.188573,1.474965,90.0,2024-10-19T01:09:50.472
h_e_20241019_66_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60603.129018,2.395909,1.504559,90.0,2024-10-20T03:05:47.173
h_e_20241021_45_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60605.048714,1.651571,1.455634,90.0,2024-10-22T01:10:08.888
h_e_20241022_70_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60606.039557,2.378061,1.46993,90.0,2024-10-23T00:56:57.694
h_e_20241023_77_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60607.096973,1.592747,1.45009,90.0,2024-10-24T02:19:38.509
h_e_20241024_64_1_1_9.fits,ZTF24abjjpbo,SDSS-Z,60608.030314,1.149235,1.47987,90.0,2024-10-25T00:43:39.124
